,CCC_10Y_Spread,^VIX,^GSPC,YieldCurveSlope,Unemployment,Inflation,GDP_Growth,Corporate_Leverage,IndPro_Growth,CP_Growth
1960-01-01,,,,,5.2,,,,,
1960-01-02,,,,,5.187096774193549,,,,,
1960-01-03,,,,,5.174193548387097,,,,,
1960-01-04,,,,,5.161290322580645,,,,,
1960-01-05,,,0.008012010406591052,,5.148387096774194,,,,,
1960-01-06,,,-0.004305320817369784,,5.135483870967742,,,,,
1960-01-07,,,-0.007317519268090766,,5.122580645161291,,,,,
1960-01-08,,,-0.003183089815384399,,5.109677419354838,,,,,
1960-01-09,,,-0.004089633289839467,,5.096774193548387,,,,,
1960-01-10,,,-0.0041064270706898665,,5.083870967741936,,,,,
1960-01-11,,,-0.004123359345126976,,5.070967741935484,,,,,
1960-01-12,,,-0.00612558461030277,,5.058064516129033,,,,,
1960-01-13,,,-0.005649683568215935,,5.04516129032258,,,,,
1960-01-14,,,0.0055096364451752144,,5.032258064516129,,,,,
1960-01-15,,,-0.00034247358289551943,,5.019354838709678,,,,,
1960-01-16,,,-0.002797771322951781,,5.006451612903226,,,,,
1960-01-17,,,-0.0028056208083925283,,4.993548387096774,,,,,
1960-01-18,,,-0.0028135144631149522,,4.980645161290322,,,,,
1960-01-19,,,-0.010709948841278294,,4.967741935483871,,,,,
1960-01-20,,,-0.0034922430826057616,,4.95483870967742,,,,,
1960-01-21,,,0.002453117056195442,,4.941935483870967,,,,,
1960-01-22,,,0.00297154319809656,,4.929032258064516,,,,,
1960-01-23,,,-0.0034855482610053334,,4.916129032258064,,,,,
1960-01-24,,,-0.003497739801889277,,4.903225806451613,,,,,
1960-01-25,,,-0.0035100169278029503,,4.890322580645162,,,,,
1960-01-26,,,0.001408979090782525,,4.877419354838709,,,,,
1960-01-27,,,-0.0024621770690405054,,4.864516129032258,,,,,
1960-01-28,,,-0.010401977078458469,,4.851612903225806,,,,,
1960-01-29,,,-0.009264216067493725,,4.838709677419355,,,,,
1960-01-30,,,0.0020979348455294478,,4.825806451612903,,,,,
1960-01-31,,,0.002093542729286968,,4.812903225806451,,,,,
1960-02-01,,,0.002089168964790611,,4.8,0.0013619339462036528,,,-0.008896870784331545,
1960-02-02,,,0.015368131244129835,,4.820689655172414,0.001314970706679389,,,-0.008899768718226248,
1960-02-03,,,-0.008799718456273475,,4.841379310344827,0.001268007467155125,,,-0.008902666652120951,
1960-02-04,,,-0.0008877705492094101,,4.862068965517241,0.0012210442276308611,,,-0.008905564586015654,
